NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.08, 37.0758 msec to evaluate
step 4200, training accuracy 0.78, 3.73673 msec to evaluate
step 4300, training accuracy 0.84, 3.88026 msec to evaluate
step 4400, training accuracy 0.86, 3.63851 msec to evaluate
step 4500, training accuracy 0.86, 3.79181 msec to evaluate
step 4600, training accuracy 0.96, 4.76933 msec to evaluate
step 4700, training accuracy 0.92, 3.93271 msec to evaluate
step 4800, training accuracy 0.92, 3.67427 msec to evaluate
step 4900, training accuracy 0.88, 3.33548 msec to evaluate
test accuracy 0.8888
step 5000, training accuracy 0.88, 2.7988 msec to evaluate
step 5100, training accuracy 0.9, 4.15063 msec to evaluate
step 5200, training accuracy 0.88, 4.53901 msec to evaluate
step 5300, training accuracy 0.82, 3.75676 msec to evaluate
step 5400, training accuracy 0.94, 4.73046 msec to evaluate
step 5500, training accuracy 0.94, 3.55673 msec to evaluate
step 5600, training accuracy 0.94, 4.09341 msec to evaluate
step 5700, training accuracy 0.92, 4.01211 msec to evaluate
step 5800, training accuracy 0.9, 5.31244 msec to evaluate
step 5900, training accuracy 0.88, 4.25506 msec to evaluate
test accuracy 0.8965
step 6000, training accuracy 0.9, 4.55666 msec to evaluate
step 6100, training accuracy 0.92, 4.32777 msec to evaluate
step 6200, training accuracy 0.9, 4.20856 msec to evaluate
step 6300, training accuracy 0.92, 3.88837 msec to evaluate
step 6400, training accuracy 0.96, 3.71552 msec to evaluate
step 6500, training accuracy 0.9, 3.81613 msec to evaluate
step 6600, training accuracy 0.9, 3.64876 msec to evaluate
step 6700, training accuracy 0.94, 3.92246 msec to evaluate
step 6800, training accuracy 0.86, 4.49133 msec to evaluate
step 6900, training accuracy 0.9, 4.82035 msec to evaluate
test accuracy 0.9117
step 7000, training accuracy 0.96, 3.39603 msec to evaluate
step 7100, training accuracy 0.92, 3.89433 msec to evaluate
step 7200, training accuracy 0.92, 3.80492 msec to evaluate
step 7300, training accuracy 0.9, 3.96538 msec to evaluate
step 7400, training accuracy 0.9, 3.8743 msec to evaluate
step 7500, training accuracy 0.92, 3.76582 msec to evaluate
step 7600, training accuracy 0.9, 4.0071 msec to evaluate
step 7700, training accuracy 0.82, 5.63192 msec to evaluate
step 7800, training accuracy 0.92, 3.66473 msec to evaluate
step 7900, training accuracy 0.92, 3.79419 msec to evaluate
test accuracy 0.9094
step 8000, training accuracy 0.94, 3.61252 msec to evaluate
step 8100, training accuracy 0.94, 4.05121 msec to evaluate
step 8200, training accuracy 0.96, 4.56095 msec to evaluate
step 8300, training accuracy 0.94, 3.81923 msec to evaluate
step 8400, training accuracy 0.9, 3.7787 msec to evaluate
step 8500, training accuracy 0.82, 4.19998 msec to evaluate
step 8600, training accuracy 0.94, 4.24767 msec to evaluate
step 8700, training accuracy 0.92, 3.54028 msec to evaluate
step 8800, training accuracy 0.9, 4.27294 msec to evaluate
step 8900, training accuracy 0.88, 3.94869 msec to evaluate
test accuracy 0.9143
step 9000, training accuracy 0.86, 3.66592 msec to evaluate
step 9100, training accuracy 0.98, 4.29916 msec to evaluate
step 9200, training accuracy 0.86, 3.47733 msec to evaluate
step 9300, training accuracy 0.9, 4.23932 msec to evaluate
step 9400, training accuracy 0.88, 4.83394 msec to evaluate
step 9500, training accuracy 0.86, 3.84545 msec to evaluate
step 9600, training accuracy 0.9, 4.27485 msec to evaluate
step 9700, training accuracy 0.92, 4.2727 msec to evaluate
step 9800, training accuracy 0.9, 4.2994 msec to evaluate
step 9900, training accuracy 0.94, 3.83377 msec to evaluate
test accuracy 0.9287
step 10000, training accuracy 0.94, 4.2665 msec to evaluate
step 10100, training accuracy 0.98, 4.71902 msec to evaluate
step 10200, training accuracy 0.94, 3.93867 msec to evaluate
step 10300, training accuracy 0.94, 4.00114 msec to evaluate
step 10400, training accuracy 0.92, 3.57628 msec to evaluate
step 10500, training accuracy 0.9, 4.03953 msec to evaluate
step 10600, training accuracy 0.9, 4.67825 msec to evaluate
step 10700, training accuracy 0.96, 4.24314 msec to evaluate
step 10800, training accuracy 0.88, 3.58248 msec to evaluate
step 10900, training accuracy 0.94, 4.16422 msec to evaluate
test accuracy 0.9355
step 11000, training accuracy 0.9, 3.44539 msec to evaluate
step 11100, training accuracy 0.94, 4.11105 msec to evaluate
step 11200, training accuracy 0.92, 3.86119 msec to evaluate
step 11300, training accuracy 0.92, 4.15134 msec to evaluate
step 11400, training accuracy 0.94, 4.41289 msec to evaluate
step 11500, training accuracy 0.94, 3.8476 msec to evaluate
step 11600, training accuracy 0.94, 4.83823 msec to evaluate
step 11700, training accuracy 0.94, 3.96967 msec to evaluate
step 11800, training accuracy 0.98, 3.91197 msec to evaluate
step 11900, training accuracy 0.88, 3.74866 msec to evaluate
test accuracy 0.9299
step 12000, training accuracy 0.94, 4.37117 msec to evaluate
step 12100, training accuracy 0.9, 3.3226 msec to evaluate
step 12200, training accuracy 0.94, 4.46248 msec to evaluate
step 12300, training accuracy 0.92, 4.2367 msec to evaluate
step 12400, training accuracy 1, 4.08983 msec to evaluate
step 12500, training accuracy 0.96, 4.12083 msec to evaluate
step 12600, training accuracy 0.96, 4.27485 msec to evaluate
step 12700, training accuracy 0.96, 4.36163 msec to evaluate
step 12800, training accuracy 1, 4.65751 msec to evaluate
step 12900, training accuracy 0.92, 3.94416 msec to evaluate
test accuracy 0.9368
step 13000, training accuracy 0.9, 3.61085 msec to evaluate
step 13100, training accuracy 0.92, 4.05383 msec to evaluate
step 13200, training accuracy 0.98, 3.53956 msec to evaluate
step 13300, training accuracy 0.98, 4.15778 msec to evaluate
step 13400, training accuracy 0.92, 3.73435 msec to evaluate
step 13500, training accuracy 0.94, 3.67475 msec to evaluate
step 13600, training accuracy 0.92, 4.33564 msec to evaluate
step 13700, training accuracy 0.98, 3.5162 msec to evaluate
step 13800, training accuracy 0.92, 4.04024 msec to evaluate
step 13900, training accuracy 0.94, 3.9289 msec to evaluate
test accuracy 0.9449
step 14000, training accuracy 0.86, 3.32236 msec to evaluate
step 14100, training accuracy 0.92, 4.09412 msec to evaluate
step 14200, training accuracy 0.92, 3.96967 msec to evaluate
step 14300, training accuracy 0.94, 3.45707 msec to evaluate
step 14400, training accuracy 0.94, 3.66712 msec to evaluate
step 14500, training accuracy 0.94, 4.35734 msec to evaluate
step 14600, training accuracy 0.94, 4.04525 msec to evaluate
step 14700, training accuracy 0.94, 4.14181 msec to evaluate
step 14800, training accuracy 0.96, 3.72171 msec to evaluate
step 14900, training accuracy 0.96, 3.5758 msec to evaluate
test accuracy 0.9325
step 15000, training accuracy 0.94, 4.16684 msec to evaluate
step 15100, training accuracy 0.96, 3.82876 msec to evaluate
step 15200, training accuracy 0.92, 4.56214 msec to evaluate
step 15300, training accuracy 0.94, 3.91603 msec to evaluate
step 15400, training accuracy 0.94, 3.3133 msec to evaluate
step 15500, training accuracy 0.94, 3.89028 msec to evaluate
step 15600, training accuracy 0.92, 3.61443 msec to evaluate
step 15700, training accuracy 0.92, 4.13203 msec to evaluate
step 15800, training accuracy 0.96, 4.07076 msec to evaluate
step 15900, training accuracy 0.96, 4.17423 msec to evaluate
test accuracy 0.9441
step 16000, training accuracy 0.96, 3.17979 msec to evaluate
step 16100, training accuracy 0.96, 4.09317 msec to evaluate
step 16200, training accuracy 0.88, 4.39715 msec to evaluate
step 16300, training accuracy 0.94, 3.76344 msec to evaluate
step 16400, training accuracy 0.96, 3.85976 msec to evaluate
step 16500, training accuracy 0.98, 3.30853 msec to evaluate
step 16600, training accuracy 0.94, 4.0791 msec to evaluate
step 16700, training accuracy 0.92, 3.89743 msec to evaluate
step 16800, training accuracy 0.9, 4.30322 msec to evaluate
step 16900, training accuracy 0.96, 4.02308 msec to evaluate
test accuracy 0.9557
step 17000, training accuracy 0.86, 3.94487 msec to evaluate
step 17100, training accuracy 0.88, 3.92222 msec to evaluate
step 17200, training accuracy 0.98, 4.19521 msec to evaluate
step 17300, training accuracy 0.94, 3.89242 msec to evaluate
step 17400, training accuracy 0.94, 3.98159 msec to evaluate
step 17500, training accuracy 0.88, 4.18353 msec to evaluate
step 17600, training accuracy 0.98, 3.64208 msec to evaluate
step 17700, training accuracy 0.92, 6.23631 msec to evaluate
step 17800, training accuracy 0.96, 4.59862 msec to evaluate
step 17900, training accuracy 0.94, 4.30584 msec to evaluate
test accuracy 0.9524
step 18000, training accuracy 0.98, 3.69573 msec to evaluate
step 18100, training accuracy 0.86, 4.6227 msec to evaluate
step 18200, training accuracy 0.94, 4.03762 msec to evaluate
step 18300, training accuracy 0.98, 4.16899 msec to evaluate
step 18400, training accuracy 0.94, 3.92509 msec to evaluate
step 18500, training accuracy 0.94, 4.13585 msec to evaluate
step 18600, training accuracy 0.92, 4.29273 msec to evaluate
step 18700, training accuracy 0.94, 3.56722 msec to evaluate
step 18800, training accuracy 0.94, 3.77369 msec to evaluate
step 18900, training accuracy 0.88, 4.15421 msec to evaluate
test accuracy 0.9544
step 19000, training accuracy 0.86, 3.20745 msec to evaluate
step 19100, training accuracy 0.98, 3.98302 msec to evaluate
step 19200, training accuracy 0.92, 9.45711 msec to evaluate
step 19300, training accuracy 0.94, 3.95036 msec to evaluate
step 19400, training accuracy 1, 4.06742 msec to evaluate
step 19500, training accuracy 0.96, 4.12798 msec to evaluate
step 19600, training accuracy 1, 3.88527 msec to evaluate
step 19700, training accuracy 0.96, 4.03333 msec to evaluate
step 19800, training accuracy 0.94, 4.80938 msec to evaluate
step 19900, training accuracy 0.98, 4.06384 msec to evaluate
test accuracy 0.9415
step 20000, training accuracy 0.9, 3.46756 msec to evaluate
step 20100, training accuracy 0.96, 3.80969 msec to evaluate
step 20200, training accuracy 0.98, 4.53496 msec to evaluate
step 20300, training accuracy 0.96, 3.63922 msec to evaluate
step 20400, training accuracy 0.9, 3.76964 msec to evaluate
step 20500, training accuracy 1, 4.36926 msec to evaluate
step 20600, training accuracy 0.96, 3.8805 msec to evaluate
step 20700, training accuracy 1, 3.9444 msec to evaluate
step 20800, training accuracy 0.98, 4.44937 msec to evaluate
step 20900, training accuracy 0.98, 3.28398 msec to evaluate
test accuracy 0.953
step 21000, training accuracy 0.98, 4.11129 msec to evaluate
step 21100, training accuracy 0.94, 4.41051 msec to evaluate
step 21200, training accuracy 1, 4.66204 msec to evaluate
step 21300, training accuracy 0.98, 4.13132 msec to evaluate
step 21400, training accuracy 0.96, 4.05121 msec to evaluate
step 21500, training accuracy 0.9, 3.34072 msec to evaluate
step 21600, training accuracy 0.94, 3.59011 msec to evaluate
step 21700, training accuracy 0.94, 4.58145 msec to evaluate
step 21800, training accuracy 0.98, 4.02498 msec to evaluate
step 21900, training accuracy 0.96, 3.79634 msec to evaluate
test accuracy 0.9513
step 22000, training accuracy 0.9, 3.68857 msec to evaluate
step 22100, training accuracy 0.94, 4.25291 msec to evaluate
step 22200, training accuracy 0.94, 3.96752 msec to evaluate
step 22300, training accuracy 0.9, 3.64304 msec to evaluate
step 22400, training accuracy 0.94, 3.74818 msec to evaluate
step 22500, training accuracy 0.98, 3.85499 msec to evaluate
step 22600, training accuracy 0.98, 3.58558 msec to evaluate
step 22700, training accuracy 0.92, 3.79372 msec to evaluate
step 22800, training accuracy 0.94, 3.94988 msec to evaluate
step 22900, training accuracy 0.98, 3.85261 msec to evaluate
test accuracy 0.9503
step 23000, training accuracy 0.96, 4.6432 msec to evaluate
step 23100, training accuracy 0.94, 4.37665 msec to evaluate
step 23200, training accuracy 1, 3.83186 msec to evaluate
step 23300, training accuracy 0.92, 3.88169 msec to evaluate
step 23400, training accuracy 0.96, 3.63326 msec to evaluate
step 23500, training accuracy 0.92, 3.46041 msec to evaluate
step 23600, training accuracy 0.94, 4.31585 msec to evaluate
step 23700, training accuracy 0.98, 4.1914 msec to evaluate
step 23800, training accuracy 0.94, 4.97913 msec to evaluate
step 23900, training accuracy 0.94, 3.44586 msec to evaluate
test accuracy 0.953
step 24000, training accuracy 1, 3.64065 msec to evaluate
step 24100, training accuracy 0.96, 4.03285 msec to evaluate
step 24200, training accuracy 0.98, 3.16215 msec to evaluate
step 24300, training accuracy 0.94, 4.16017 msec to evaluate
step 24400, training accuracy 0.98, 4.77409 msec to evaluate
step 24500, training accuracy 1, 3.57318 msec to evaluate
step 24600, training accuracy 1, 4.8008 msec to evaluate
step 24700, training accuracy 1, 3.66449 msec to evaluate
step 24800, training accuracy 0.98, 3.49569 msec to evaluate
step 24900, training accuracy 0.94, 3.67332 msec to evaluate
test accuracy 0.9489
step 25000, training accuracy 0.96, 3.67141 msec to evaluate
step 25100, training accuracy 0.94, 4.52375 msec to evaluate
step 25200, training accuracy 0.92, 4.04429 msec to evaluate
step 25300, training accuracy 0.98, 3.93915 msec to evaluate
step 25400, training accuracy 0.9, 3.90887 msec to evaluate
step 25500, training accuracy 1, 3.67904 msec to evaluate
step 25600, training accuracy 0.98, 4.38285 msec to evaluate
step 25700, training accuracy 0.94, 4.49729 msec to evaluate
step 25800, training accuracy 0.96, 4.246 msec to evaluate
step 25900, training accuracy 0.94, 4.19688 msec to evaluate
test accuracy 0.9585
step 26000, training accuracy 0.94, 3.92604 msec to evaluate
step 26100, training accuracy 0.98, 4.48895 msec to evaluate
step 26200, training accuracy 0.94, 4.05312 msec to evaluate
step 26300, training accuracy 0.98, 3.58987 msec to evaluate
step 26400, training accuracy 0.96, 3.31187 msec to evaluate
step 26500, training accuracy 1, 4.2212 msec to evaluate
step 26600, training accuracy 0.96, 4.04406 msec to evaluate
step 26700, training accuracy 0.92, 4.0834 msec to evaluate
step 26800, training accuracy 0.96, 3.90697 msec to evaluate
step 26900, training accuracy 0.92, 3.91889 msec to evaluate
test accuracy 0.9558
step 27000, training accuracy 0.94, 3.84545 msec to evaluate
step 27100, training accuracy 0.96, 4.46844 msec to evaluate
step 27200, training accuracy 0.96, 4.49848 msec to evaluate
step 27300, training accuracy 0.94, 3.70312 msec to evaluate
step 27400, training accuracy 0.96, 3.71122 msec to evaluate
step 27500, training accuracy 0.92, 3.72458 msec to evaluate
step 27600, training accuracy 0.96, 3.49927 msec to evaluate
step 27700, training accuracy 0.96, 3.92413 msec to evaluate
step 27800, training accuracy 0.98, 4.2963 msec to evaluate
step 27900, training accuracy 0.94, 3.8054 msec to evaluate
test accuracy 0.9513
step 28000, training accuracy 1, 6.40392 msec to evaluate
step 28100, training accuracy 0.96, 4.16374 msec to evaluate
step 28200, training accuracy 0.96, 4.63533 msec to evaluate
step 28300, training accuracy 0.98, 5.32722 msec to evaluate
step 28400, training accuracy 0.96, 3.79777 msec to evaluate
step 28500, training accuracy 0.92, 3.85785 msec to evaluate
step 28600, training accuracy 1, 4.59218 msec to evaluate
step 28700, training accuracy 0.94, 4.41527 msec to evaluate
step 28800, training accuracy 0.92, 4.56381 msec to evaluate
step 28900, training accuracy 0.98, 4.09436 msec to evaluate
test accuracy 0.9536
step 29000, training accuracy 0.94, 3.70002 msec to evaluate
step 29100, training accuracy 0.94, 4.44841 msec to evaluate
step 29200, training accuracy 0.92, 3.61538 msec to evaluate
step 29300, training accuracy 0.88, 4.0822 msec to evaluate
step 29400, training accuracy 0.92, 4.49085 msec to evaluate
step 29500, training accuracy 0.98, 3.47447 msec to evaluate
step 29600, training accuracy 0.94, 4.78077 msec to evaluate
step 29700, training accuracy 0.98, 3.69883 msec to evaluate
step 29800, training accuracy 0.94, 4.2398 msec to evaluate
step 29900, training accuracy 0.96, 3.36242 msec to evaluate
test accuracy 0.9643
step 30000, training accuracy 1, 4.54903 msec to evaluate
step 30100, training accuracy 0.92, 3.63731 msec to evaluate
step 30200, training accuracy 0.98, 4.00901 msec to evaluate
step 30300, training accuracy 0.98, 4.17471 msec to evaluate
step 30400, training accuracy 0.98, 3.82924 msec to evaluate
step 30500, training accuracy 0.98, 3.8476 msec to evaluate
step 30600, training accuracy 0.92, 4.07243 msec to evaluate
step 30700, training accuracy 0.98, 3.94297 msec to evaluate
step 30800, training accuracy 0.96, 3.85666 msec to evaluate
step 30900, training accuracy 0.96, 3.7365 msec to evaluate
test accuracy 0.96
step 31000, training accuracy 1, 3.63946 msec to evaluate
step 31100, training accuracy 0.98, 4.48227 msec to evaluate
step 31200, training accuracy 0.92, 4.62627 msec to evaluate
step 31300, training accuracy 1, 4.08435 msec to evaluate
step 31400, training accuracy 0.94, 3.93867 msec to evaluate
step 31500, training accuracy 0.98, 4.13299 msec to evaluate
step 31600, training accuracy 0.96, 4.37737 msec to evaluate
step 31700, training accuracy 0.98, 3.99637 msec to evaluate
step 31800, training accuracy 0.96, 3.95656 msec to evaluate
step 31900, training accuracy 0.98, 3.32546 msec to evaluate
test accuracy 0.9651
step 32000, training accuracy 0.98, 2.93422 msec to evaluate
step 32100, training accuracy 0.96, 3.86333 msec to evaluate
step 32200, training accuracy 0.92, 4.04668 msec to evaluate
step 32300, training accuracy 0.94, 4.26221 msec to evaluate
step 32400, training accuracy 0.96, 3.79515 msec to evaluate
step 32500, training accuracy 1, 4.14562 msec to evaluate
step 32600, training accuracy 0.96, 3.56412 msec to evaluate
step 32700, training accuracy 0.92, 4.26269 msec to evaluate
step 32800, training accuracy 0.98, 4.915 msec to evaluate
step 32900, training accuracy 0.98, 3.70121 msec to evaluate
test accuracy 0.9475
step 33000, training accuracy 0.94, 4.16636 msec to evaluate
step 33100, training accuracy 0.94, 4.10271 msec to evaluate
step 33200, training accuracy 0.94, 3.73149 msec to evaluate
step 33300, training accuracy 0.96, 4.30727 msec to evaluate
step 33400, training accuracy 0.96, 4.33397 msec to evaluate
step 33500, training accuracy 1, 3.96967 msec to evaluate
step 33600, training accuracy 0.92, 3.96752 msec to evaluate
step 33700, training accuracy 1, 4.34709 msec to evaluate
step 33800, training accuracy 1, 3.98755 msec to evaluate
step 33900, training accuracy 1, 3.76511 msec to evaluate
test accuracy 0.9481
step 34000, training accuracy 0.96, 3.54648 msec to evaluate
step 34100, training accuracy 1, 3.70026 msec to evaluate
step 34200, training accuracy 0.98, 3.89028 msec to evaluate
step 34300, training accuracy 0.92, 4.13275 msec to evaluate
step 34400, training accuracy 0.94, 3.87502 msec to evaluate
step 34500, training accuracy 0.92, 4.13275 msec to evaluate
step 34600, training accuracy 0.92, 4.28319 msec to evaluate
step 34700, training accuracy 0.92, 4.61435 msec to evaluate
step 34800, training accuracy 1, 3.71647 msec to evaluate
step 34900, training accuracy 0.98, 4.79412 msec to evaluate
test accuracy 0.9578
step 35000, training accuracy 0.96, 3.36027 msec to evaluate
step 35100, training accuracy 0.96, 3.92222 msec to evaluate
step 35200, training accuracy 1, 3.59535 msec to evaluate
step 35300, training accuracy 0.96, 3.57413 msec to evaluate
step 35400, training accuracy 0.96, 4.3447 msec to evaluate
step 35500, training accuracy 0.92, 4.1039 msec to evaluate
step 35600, training accuracy 0.98, 4.09532 msec to evaluate
step 35700, training accuracy 0.96, 4.34685 msec to evaluate
step 35800, training accuracy 0.98, 3.91889 msec to evaluate
step 35900, training accuracy 0.98, 3.70502 msec to evaluate
test accuracy 0.9496
step 36000, training accuracy 0.96, 4.56357 msec to evaluate
step 36100, training accuracy 1, 3.80468 msec to evaluate
step 36200, training accuracy 1, 4.17113 msec to evaluate
step 36300, training accuracy 0.96, 5.08475 msec to evaluate
step 36400, training accuracy 0.92, 3.71504 msec to evaluate
step 36500, training accuracy 1, 3.89791 msec to evaluate
step 36600, training accuracy 0.94, 3.69859 msec to evaluate
step 36700, training accuracy 0.98, 4.04811 msec to evaluate
step 36800, training accuracy 0.96, 3.79324 msec to evaluate
step 36900, training accuracy 0.98, 4.10724 msec to evaluate
test accuracy 0.9659
step 37000, training accuracy 1, 4.05169 msec to evaluate
step 37100, training accuracy 0.96, 4.12583 msec to evaluate
step 37200, training accuracy 1, 3.94535 msec to evaluate
step 37300, training accuracy 0.96, 4.13799 msec to evaluate
step 37400, training accuracy 0.98, 3.71957 msec to evaluate
step 37500, training accuracy 1, 4.07267 msec to evaluate
step 37600, training accuracy 0.96, 4.09484 msec to evaluate
step 37700, training accuracy 1, 4.07147 msec to evaluate
step 37800, training accuracy 0.98, 4.24719 msec to evaluate
step 37900, training accuracy 1, 3.91006 msec to evaluate
test accuracy 0.9536
step 38000, training accuracy 0.98, 3.75915 msec to evaluate
step 38100, training accuracy 1, 4.40717 msec to evaluate
step 38200, training accuracy 0.92, 4.00925 msec to evaluate
step 38300, training accuracy 0.98, 4.13561 msec to evaluate
step 38400, training accuracy 0.98, 4.68111 msec to evaluate
step 38500, training accuracy 0.96, 3.33858 msec to evaluate
step 38600, training accuracy 0.98, 4.05407 msec to evaluate
