NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.14, 36.5701 msec to evaluate
step 4200, training accuracy 0.84, 4.05669 msec to evaluate
step 4300, training accuracy 0.86, 3.9537 msec to evaluate
step 4400, training accuracy 0.9, 3.73936 msec to evaluate
step 4500, training accuracy 0.84, 4.48895 msec to evaluate
step 4600, training accuracy 0.86, 4.04286 msec to evaluate
step 4700, training accuracy 0.8, 3.93176 msec to evaluate
step 4800, training accuracy 0.82, 4.7009 msec to evaluate
step 4900, training accuracy 0.82, 4.57978 msec to evaluate
test accuracy 0.8851
step 5000, training accuracy 0.74, 3.79491 msec to evaluate
step 5100, training accuracy 0.84, 4.50182 msec to evaluate
step 5200, training accuracy 0.94, 4.46701 msec to evaluate
step 5300, training accuracy 0.96, 4.41933 msec to evaluate
step 5400, training accuracy 0.94, 4.02594 msec to evaluate
step 5500, training accuracy 0.82, 4.33254 msec to evaluate
step 5600, training accuracy 0.8, 4.01974 msec to evaluate
step 5700, training accuracy 0.8, 4.3211 msec to evaluate
step 5800, training accuracy 0.86, 4.10771 msec to evaluate
step 5900, training accuracy 0.88, 3.63731 msec to evaluate
test accuracy 0.901
step 6000, training accuracy 0.9, 4.05073 msec to evaluate
step 6100, training accuracy 0.82, 4.03547 msec to evaluate
step 6200, training accuracy 0.88, 3.63469 msec to evaluate
step 6300, training accuracy 0.92, 3.84164 msec to evaluate
step 6400, training accuracy 0.88, 3.90935 msec to evaluate
step 6500, training accuracy 0.86, 3.59321 msec to evaluate
step 6600, training accuracy 0.86, 4.91095 msec to evaluate
step 6700, training accuracy 0.94, 3.8805 msec to evaluate
step 6800, training accuracy 0.92, 4.19688 msec to evaluate
step 6900, training accuracy 0.92, 3.76892 msec to evaluate
test accuracy 0.9096
step 7000, training accuracy 0.98, 4.49347 msec to evaluate
step 7100, training accuracy 0.9, 3.88002 msec to evaluate
step 7200, training accuracy 0.92, 4.6258 msec to evaluate
step 7300, training accuracy 0.88, 3.76463 msec to evaluate
step 7400, training accuracy 0.92, 4.37522 msec to evaluate
step 7500, training accuracy 0.92, 4.05264 msec to evaluate
step 7600, training accuracy 0.88, 4.11153 msec to evaluate
step 7700, training accuracy 0.9, 4.00734 msec to evaluate
step 7800, training accuracy 0.96, 7.41076 msec to evaluate
step 7900, training accuracy 0.78, 3.87979 msec to evaluate
test accuracy 0.9159
step 8000, training accuracy 0.94, 4.01187 msec to evaluate
step 8100, training accuracy 0.88, 3.91579 msec to evaluate
step 8200, training accuracy 0.92, 3.84736 msec to evaluate
step 8300, training accuracy 0.94, 4.17399 msec to evaluate
step 8400, training accuracy 1, 4.09317 msec to evaluate
step 8500, training accuracy 0.98, 4.52518 msec to evaluate
step 8600, training accuracy 0.9, 3.71838 msec to evaluate
step 8700, training accuracy 0.98, 3.88384 msec to evaluate
step 8800, training accuracy 0.9, 5.24259 msec to evaluate
step 8900, training accuracy 0.88, 3.77321 msec to evaluate
test accuracy 0.9279
step 9000, training accuracy 0.94, 4.41241 msec to evaluate
step 9100, training accuracy 0.86, 4.11344 msec to evaluate
step 9200, training accuracy 0.92, 4.42958 msec to evaluate
step 9300, training accuracy 0.92, 3.85833 msec to evaluate
step 9400, training accuracy 0.86, 3.66259 msec to evaluate
step 9500, training accuracy 0.96, 4.26888 msec to evaluate
step 9600, training accuracy 0.94, 4.58145 msec to evaluate
step 9700, training accuracy 0.86, 4.71735 msec to evaluate
step 9800, training accuracy 0.94, 4.44984 msec to evaluate
step 9900, training accuracy 0.96, 4.41098 msec to evaluate
test accuracy 0.9291
step 10000, training accuracy 0.96, 4.25625 msec to evaluate
step 10100, training accuracy 0.98, 3.98874 msec to evaluate
step 10200, training accuracy 0.92, 4.35758 msec to evaluate
step 10300, training accuracy 0.94, 3.9494 msec to evaluate
step 10400, training accuracy 0.98, 4.39668 msec to evaluate
step 10500, training accuracy 0.88, 3.75533 msec to evaluate
step 10600, training accuracy 0.86, 4.00043 msec to evaluate
step 10700, training accuracy 0.94, 3.58081 msec to evaluate
step 10800, training accuracy 0.94, 3.66974 msec to evaluate
step 10900, training accuracy 0.88, 4.6792 msec to evaluate
test accuracy 0.9297
step 11000, training accuracy 0.94, 4.3335 msec to evaluate
step 11100, training accuracy 0.98, 3.89695 msec to evaluate
step 11200, training accuracy 0.86, 3.63159 msec to evaluate
step 11300, training accuracy 0.96, 4.42314 msec to evaluate
step 11400, training accuracy 0.96, 4.03523 msec to evaluate
step 11500, training accuracy 0.88, 4.2305 msec to evaluate
step 11600, training accuracy 0.92, 4.38118 msec to evaluate
step 11700, training accuracy 0.92, 4.15277 msec to evaluate
step 11800, training accuracy 0.88, 3.71933 msec to evaluate
step 11900, training accuracy 0.96, 3.7744 msec to evaluate
test accuracy 0.9394
step 12000, training accuracy 0.94, 3.13854 msec to evaluate
step 12100, training accuracy 0.92, 3.54958 msec to evaluate
step 12200, training accuracy 0.98, 4.26221 msec to evaluate
step 12300, training accuracy 0.94, 4.18758 msec to evaluate
step 12400, training accuracy 0.96, 3.82376 msec to evaluate
step 12500, training accuracy 0.88, 3.94654 msec to evaluate
step 12600, training accuracy 0.94, 4.31752 msec to evaluate
step 12700, training accuracy 0.98, 4.20356 msec to evaluate
step 12800, training accuracy 0.98, 3.76272 msec to evaluate
step 12900, training accuracy 1, 4.0338 msec to evaluate
test accuracy 0.942
step 13000, training accuracy 0.94, 4.54879 msec to evaluate
step 13100, training accuracy 0.9, 3.50142 msec to evaluate
step 13200, training accuracy 0.96, 3.44753 msec to evaluate
step 13300, training accuracy 0.92, 4.20403 msec to evaluate
step 13400, training accuracy 0.94, 3.73101 msec to evaluate
step 13500, training accuracy 0.9, 5.05185 msec to evaluate
step 13600, training accuracy 0.96, 3.85618 msec to evaluate
step 13700, training accuracy 0.9, 4.4229 msec to evaluate
step 13800, training accuracy 1, 3.89886 msec to evaluate
step 13900, training accuracy 0.98, 4.31561 msec to evaluate
test accuracy 0.9393
step 14000, training accuracy 0.86, 4.77242 msec to evaluate
step 14100, training accuracy 0.9, 4.09603 msec to evaluate
step 14200, training accuracy 0.94, 3.71552 msec to evaluate
step 14300, training accuracy 0.9, 4.43816 msec to evaluate
step 14400, training accuracy 0.94, 4.22001 msec to evaluate
step 14500, training accuracy 0.9, 4.00853 msec to evaluate
step 14600, training accuracy 0.94, 3.63374 msec to evaluate
step 14700, training accuracy 0.96, 3.75152 msec to evaluate
step 14800, training accuracy 0.94, 4.14824 msec to evaluate
step 14900, training accuracy 0.9, 3.66092 msec to evaluate
test accuracy 0.9497
step 15000, training accuracy 1, 3.74508 msec to evaluate
step 15100, training accuracy 0.92, 4.01807 msec to evaluate
step 15200, training accuracy 0.96, 4.37212 msec to evaluate
step 15300, training accuracy 0.98, 4.41408 msec to evaluate
step 15400, training accuracy 0.92, 3.66211 msec to evaluate
step 15500, training accuracy 0.96, 3.93271 msec to evaluate
step 15600, training accuracy 0.96, 3.63994 msec to evaluate
step 15700, training accuracy 0.86, 4.50802 msec to evaluate
step 15800, training accuracy 1, 4.09722 msec to evaluate
step 15900, training accuracy 0.9, 4.01711 msec to evaluate
test accuracy 0.9455
step 16000, training accuracy 0.98, 3.35169 msec to evaluate
step 16100, training accuracy 0.96, 4.31037 msec to evaluate
step 16200, training accuracy 0.92, 4.2026 msec to evaluate
step 16300, training accuracy 0.98, 3.87764 msec to evaluate
step 16400, training accuracy 0.9, 3.87025 msec to evaluate
step 16500, training accuracy 0.94, 3.39842 msec to evaluate
step 16600, training accuracy 0.96, 4.44102 msec to evaluate
step 16700, training accuracy 0.96, 4.13752 msec to evaluate
step 16800, training accuracy 0.98, 4.28128 msec to evaluate
step 16900, training accuracy 0.96, 3.61609 msec to evaluate
test accuracy 0.9495
step 17000, training accuracy 0.94, 3.64852 msec to evaluate
step 17100, training accuracy 0.94, 3.70789 msec to evaluate
step 17200, training accuracy 1, 4.26054 msec to evaluate
step 17300, training accuracy 0.98, 3.86858 msec to evaluate
step 17400, training accuracy 0.94, 4.54378 msec to evaluate
step 17500, training accuracy 0.94, 3.78323 msec to evaluate
step 17600, training accuracy 0.96, 3.50928 msec to evaluate
step 17700, training accuracy 0.96, 3.48997 msec to evaluate
step 17800, training accuracy 0.96, 3.84378 msec to evaluate
step 17900, training accuracy 0.94, 4.49753 msec to evaluate
test accuracy 0.9456
step 18000, training accuracy 1, 3.99971 msec to evaluate
step 18100, training accuracy 1, 4.16446 msec to evaluate
step 18200, training accuracy 0.86, 4.78196 msec to evaluate
step 18300, training accuracy 0.94, 3.87335 msec to evaluate
step 18400, training accuracy 0.96, 3.84712 msec to evaluate
step 18500, training accuracy 0.92, 4.77481 msec to evaluate
step 18600, training accuracy 0.92, 4.19259 msec to evaluate
step 18700, training accuracy 0.92, 3.07989 msec to evaluate
step 18800, training accuracy 1, 4.25124 msec to evaluate
step 18900, training accuracy 0.98, 4.62103 msec to evaluate
test accuracy 0.9457
step 19000, training accuracy 0.94, 4.38809 msec to evaluate
step 19100, training accuracy 0.94, 4.39239 msec to evaluate
step 19200, training accuracy 0.98, 5.04136 msec to evaluate
step 19300, training accuracy 0.92, 3.83353 msec to evaluate
step 19400, training accuracy 0.96, 4.05765 msec to evaluate
step 19500, training accuracy 0.96, 4.40025 msec to evaluate
step 19600, training accuracy 0.96, 4.36783 msec to evaluate
step 19700, training accuracy 0.98, 3.51954 msec to evaluate
step 19800, training accuracy 0.96, 3.19529 msec to evaluate
step 19900, training accuracy 1, 4.5917 msec to evaluate
test accuracy 0.9473
step 20000, training accuracy 0.9, 3.48997 msec to evaluate
step 20100, training accuracy 0.96, 3.89409 msec to evaluate
step 20200, training accuracy 1, 3.56531 msec to evaluate
step 20300, training accuracy 0.94, 4.04811 msec to evaluate
step 20400, training accuracy 0.96, 4.4961 msec to evaluate
step 20500, training accuracy 0.96, 4.35233 msec to evaluate
step 20600, training accuracy 0.94, 4.17066 msec to evaluate
step 20700, training accuracy 0.98, 4.62484 msec to evaluate
step 20800, training accuracy 0.96, 4.08268 msec to evaluate
step 20900, training accuracy 0.98, 3.62396 msec to evaluate
test accuracy 0.955
step 21000, training accuracy 1, 4.37164 msec to evaluate
step 21100, training accuracy 0.94, 4.19259 msec to evaluate
step 21200, training accuracy 1, 4.29797 msec to evaluate
step 21300, training accuracy 1, 4.4446 msec to evaluate
step 21400, training accuracy 0.92, 4.08149 msec to evaluate
step 21500, training accuracy 0.94, 3.8321 msec to evaluate
step 21600, training accuracy 1, 4.36473 msec to evaluate
step 21700, training accuracy 0.9, 3.84021 msec to evaluate
step 21800, training accuracy 0.94, 4.43745 msec to evaluate
step 21900, training accuracy 0.94, 3.94821 msec to evaluate
test accuracy 0.9578
step 22000, training accuracy 0.9, 4.38333 msec to evaluate
step 22100, training accuracy 0.98, 4.47655 msec to evaluate
step 22200, training accuracy 1, 3.98302 msec to evaluate
step 22300, training accuracy 0.94, 3.69239 msec to evaluate
step 22400, training accuracy 0.92, 3.78203 msec to evaluate
step 22500, training accuracy 0.96, 4.93741 msec to evaluate
step 22600, training accuracy 1, 3.99995 msec to evaluate
step 22700, training accuracy 0.98, 3.57485 msec to evaluate
step 22800, training accuracy 1, 4.18758 msec to evaluate
step 22900, training accuracy 0.98, 3.89051 msec to evaluate
test accuracy 0.9493
step 23000, training accuracy 0.96, 3.83425 msec to evaluate
step 23100, training accuracy 0.96, 3.18098 msec to evaluate
step 23200, training accuracy 0.96, 4.09985 msec to evaluate
step 23300, training accuracy 0.94, 4.62031 msec to evaluate
step 23400, training accuracy 0.96, 3.59392 msec to evaluate
step 23500, training accuracy 0.98, 4.59599 msec to evaluate
step 23600, training accuracy 0.94, 3.8209 msec to evaluate
step 23700, training accuracy 0.98, 3.8321 msec to evaluate
step 23800, training accuracy 0.98, 3.42417 msec to evaluate
step 23900, training accuracy 1, 4.60649 msec to evaluate
test accuracy 0.9503
step 24000, training accuracy 0.98, 3.24345 msec to evaluate
step 24100, training accuracy 0.92, 4.18234 msec to evaluate
step 24200, training accuracy 0.94, 3.55577 msec to evaluate
step 24300, training accuracy 0.96, 4.52518 msec to evaluate
step 24400, training accuracy 0.96, 3.71456 msec to evaluate
step 24500, training accuracy 0.92, 3.93867 msec to evaluate
step 24600, training accuracy 1, 4.00114 msec to evaluate
step 24700, training accuracy 0.96, 4.18139 msec to evaluate
step 24800, training accuracy 0.96, 4.62556 msec to evaluate
step 24900, training accuracy 0.94, 4.47297 msec to evaluate
test accuracy 0.9513
step 25000, training accuracy 0.92, 3.79777 msec to evaluate
step 25100, training accuracy 0.98, 3.94964 msec to evaluate
step 25200, training accuracy 0.96, 3.91912 msec to evaluate
step 25300, training accuracy 1, 3.34835 msec to evaluate
step 25400, training accuracy 0.96, 4.52542 msec to evaluate
step 25500, training accuracy 0.92, 4.21476 msec to evaluate
step 25600, training accuracy 0.96, 3.90863 msec to evaluate
step 25700, training accuracy 0.98, 4.47774 msec to evaluate
step 25800, training accuracy 0.88, 3.72052 msec to evaluate
step 25900, training accuracy 0.94, 4.16994 msec to evaluate
test accuracy 0.9557
step 26000, training accuracy 0.96, 3.33714 msec to evaluate
step 26100, training accuracy 0.94, 3.80635 msec to evaluate
step 26200, training accuracy 0.96, 4.07481 msec to evaluate
step 26300, training accuracy 0.98, 4.22215 msec to evaluate
step 26400, training accuracy 0.96, 4.54164 msec to evaluate
step 26500, training accuracy 0.94, 4.23241 msec to evaluate
step 26600, training accuracy 0.98, 4.15492 msec to evaluate
step 26700, training accuracy 0.94, 4.01902 msec to evaluate
step 26800, training accuracy 0.98, 4.10366 msec to evaluate
step 26900, training accuracy 0.96, 4.42696 msec to evaluate
test accuracy 0.9556
step 27000, training accuracy 1, 3.84116 msec to evaluate
step 27100, training accuracy 0.92, 3.95513 msec to evaluate
step 27200, training accuracy 0.94, 4.01664 msec to evaluate
step 27300, training accuracy 0.96, 3.91245 msec to evaluate
step 27400, training accuracy 0.98, 3.76129 msec to evaluate
step 27500, training accuracy 0.96, 4.31299 msec to evaluate
step 27600, training accuracy 0.96, 4.32467 msec to evaluate
step 27700, training accuracy 0.98, 3.78704 msec to evaluate
step 27800, training accuracy 0.98, 4.00662 msec to evaluate
step 27900, training accuracy 0.96, 3.79562 msec to evaluate
test accuracy 0.9569
step 28000, training accuracy 0.96, 3.35407 msec to evaluate
step 28100, training accuracy 0.92, 3.92556 msec to evaluate
step 28200, training accuracy 0.96, 3.67856 msec to evaluate
step 28300, training accuracy 0.98, 4.22692 msec to evaluate
step 28400, training accuracy 0.98, 3.78561 msec to evaluate
step 28500, training accuracy 0.96, 4.31108 msec to evaluate
step 28600, training accuracy 0.94, 4.15635 msec to evaluate
step 28700, training accuracy 0.96, 3.96681 msec to evaluate
step 28800, training accuracy 1, 4.36044 msec to evaluate
step 28900, training accuracy 0.94, 3.79586 msec to evaluate
test accuracy 0.9488
step 29000, training accuracy 0.92, 4.29702 msec to evaluate
step 29100, training accuracy 0.96, 4.52495 msec to evaluate
step 29200, training accuracy 0.96, 4.19617 msec to evaluate
step 29300, training accuracy 0.9, 4.40454 msec to evaluate
step 29400, training accuracy 0.98, 3.56555 msec to evaluate
step 29500, training accuracy 0.98, 4.61459 msec to evaluate
step 29600, training accuracy 0.96, 4.81272 msec to evaluate
step 29700, training accuracy 0.94, 3.71838 msec to evaluate
step 29800, training accuracy 0.98, 3.72481 msec to evaluate
step 29900, training accuracy 0.96, 3.90267 msec to evaluate
test accuracy 0.9543
step 30000, training accuracy 0.98, 3.47948 msec to evaluate
step 30100, training accuracy 0.98, 4.11463 msec to evaluate
step 30200, training accuracy 0.98, 4.11773 msec to evaluate
step 30300, training accuracy 0.96, 3.92818 msec to evaluate
step 30400, training accuracy 1, 4.67181 msec to evaluate
step 30500, training accuracy 0.96, 4.0946 msec to evaluate
step 30600, training accuracy 0.96, 4.57168 msec to evaluate
step 30700, training accuracy 1, 4.42219 msec to evaluate
step 30800, training accuracy 0.94, 4.0803 msec to evaluate
step 30900, training accuracy 0.94, 4.13489 msec to evaluate
test accuracy 0.9572
step 31000, training accuracy 0.98, 3.61753 msec to evaluate
step 31100, training accuracy 0.98, 4.13918 msec to evaluate
step 31200, training accuracy 0.98, 4.07648 msec to evaluate
step 31300, training accuracy 0.96, 3.54147 msec to evaluate
step 31400, training accuracy 0.92, 4.05765 msec to evaluate
step 31500, training accuracy 0.96, 3.9432 msec to evaluate
step 31600, training accuracy 0.98, 4.02761 msec to evaluate
step 31700, training accuracy 1, 4.31681 msec to evaluate
step 31800, training accuracy 0.98, 4.73666 msec to evaluate
step 31900, training accuracy 0.98, 3.56984 msec to evaluate
test accuracy 0.9553
step 32000, training accuracy 0.98, 4.07505 msec to evaluate
step 32100, training accuracy 0.96, 4.24671 msec to evaluate
step 32200, training accuracy 1, 4.56905 msec to evaluate
step 32300, training accuracy 0.94, 3.81947 msec to evaluate
step 32400, training accuracy 0.94, 4.24337 msec to evaluate
step 32500, training accuracy 0.98, 3.88718 msec to evaluate
step 32600, training accuracy 0.96, 4.42576 msec to evaluate
step 32700, training accuracy 0.96, 4.5557 msec to evaluate
step 32800, training accuracy 1, 4.21858 msec to evaluate
step 32900, training accuracy 0.92, 3.98612 msec to evaluate
test accuracy 0.9586
step 33000, training accuracy 1, 4.39787 msec to evaluate
step 33100, training accuracy 0.98, 4.18782 msec to evaluate
step 33200, training accuracy 0.94, 3.85213 msec to evaluate
step 33300, training accuracy 0.92, 4.27079 msec to evaluate
step 33400, training accuracy 0.98, 3.66068 msec to evaluate
step 33500, training accuracy 0.98, 4.38499 msec to evaluate
step 33600, training accuracy 0.98, 4.11773 msec to evaluate
step 33700, training accuracy 0.96, 3.6931 msec to evaluate
step 33800, training accuracy 0.96, 4.39715 msec to evaluate
step 33900, training accuracy 0.98, 4.20427 msec to evaluate
test accuracy 0.9599
step 34000, training accuracy 0.94, 3.76678 msec to evaluate
step 34100, training accuracy 0.96, 4.3025 msec to evaluate
step 34200, training accuracy 0.94, 3.73793 msec to evaluate
step 34300, training accuracy 0.92, 3.70646 msec to evaluate
step 34400, training accuracy 0.96, 3.70646 msec to evaluate
step 34500, training accuracy 0.98, 3.71814 msec to evaluate
step 34600, training accuracy 0.98, 3.61419 msec to evaluate
step 34700, training accuracy 0.96, 4.85182 msec to evaluate
step 34800, training accuracy 0.98, 4.72045 msec to evaluate
step 34900, training accuracy 0.94, 3.84545 msec to evaluate
test accuracy 0.9515
step 35000, training accuracy 1, 3.48926 msec to evaluate
step 35100, training accuracy 0.88, 7.12752 msec to evaluate
step 35200, training accuracy 1, 3.79992 msec to evaluate
step 35300, training accuracy 0.98, 4.52089 msec to evaluate
step 35400, training accuracy 0.98, 3.61085 msec to evaluate
step 35500, training accuracy 0.94, 4.41074 msec to evaluate
step 35600, training accuracy 0.92, 7.31325 msec to evaluate
step 35700, training accuracy 0.98, 3.97277 msec to evaluate
step 35800, training accuracy 1, 5.38445 msec to evaluate
step 35900, training accuracy 0.96, 3.6912 msec to evaluate
test accuracy 0.9582
step 36000, training accuracy 0.9, 4.55117 msec to evaluate
step 36100, training accuracy 0.98, 3.98421 msec to evaluate
step 36200, training accuracy 0.94, 4.52065 msec to evaluate
step 36300, training accuracy 1, 3.28326 msec to evaluate
step 36400, training accuracy 0.96, 4.26126 msec to evaluate
step 36500, training accuracy 1, 3.9947 msec to evaluate
step 36600, training accuracy 0.98, 4.2944 msec to evaluate
step 36700, training accuracy 0.92, 3.59321 msec to evaluate
step 36800, training accuracy 0.96, 4.34661 msec to evaluate
step 36900, training accuracy 1, 3.78537 msec to evaluate
test accuracy 0.9588
step 37000, training accuracy 0.92, 3.66831 msec to evaluate
step 37100, training accuracy 0.94, 4.06694 msec to evaluate
step 37200, training accuracy 0.96, 4.04835 msec to evaluate
step 37300, training accuracy 1, 3.73006 msec to evaluate
step 37400, training accuracy 0.94, 3.94058 msec to evaluate
step 37500, training accuracy 0.94, 4.56929 msec to evaluate
step 37600, training accuracy 1, 4.14038 msec to evaluate
step 37700, training accuracy 0.98, 3.74007 msec to evaluate
step 37800, training accuracy 0.98, 3.73912 msec to evaluate
step 37900, training accuracy 0.92, 3.96991 msec to evaluate
test accuracy 0.9583
step 38000, training accuracy 0.94, 4.47893 msec to evaluate
step 38100, training accuracy 0.98, 3.71432 msec to evaluate
step 38200, training accuracy 0.9, 4.27318 msec to evaluate
step 38300, training accuracy 0.98, 4.38166 msec to evaluate
step 38400, training accuracy 0.98, 3.76773 msec to evaluate
step 38500, training accuracy 1, 4.19378 msec to evaluate
step 38600, training accuracy 1, 4.33731 msec to evaluate
