NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.04, 39.7215 msec to evaluate
step 4200, training accuracy 0.86, 4.00758 msec to evaluate
step 4300, training accuracy 0.76, 4.25744 msec to evaluate
step 4400, training accuracy 0.88, 3.96562 msec to evaluate
step 4500, training accuracy 0.84, 3.51596 msec to evaluate
step 4600, training accuracy 0.88, 4.30083 msec to evaluate
step 4700, training accuracy 0.92, 3.75199 msec to evaluate
step 4800, training accuracy 0.84, 4.00376 msec to evaluate
step 4900, training accuracy 0.84, 4.35352 msec to evaluate
test accuracy 0.8841
step 5000, training accuracy 0.88, 3.44181 msec to evaluate
step 5100, training accuracy 0.86, 4.22263 msec to evaluate
step 5200, training accuracy 0.8, 3.64518 msec to evaluate
step 5300, training accuracy 0.92, 3.85475 msec to evaluate
step 5400, training accuracy 0.8, 3.94559 msec to evaluate
step 5500, training accuracy 0.86, 3.3319 msec to evaluate
step 5600, training accuracy 0.86, 3.89242 msec to evaluate
step 5700, training accuracy 0.86, 3.685 msec to evaluate
step 5800, training accuracy 0.86, 5.19443 msec to evaluate
step 5900, training accuracy 0.74, 4.3304 msec to evaluate
test accuracy 0.8981
step 6000, training accuracy 0.88, 3.48639 msec to evaluate
step 6100, training accuracy 0.88, 4.19617 msec to evaluate
step 6200, training accuracy 0.88, 3.87955 msec to evaluate
step 6300, training accuracy 0.92, 4.04763 msec to evaluate
step 6400, training accuracy 0.94, 3.70669 msec to evaluate
step 6500, training accuracy 0.82, 3.93939 msec to evaluate
step 6600, training accuracy 0.92, 3.03102 msec to evaluate
step 6700, training accuracy 0.86, 4.15111 msec to evaluate
step 6800, training accuracy 0.92, 4.63367 msec to evaluate
step 6900, training accuracy 0.8, 3.88169 msec to evaluate
test accuracy 0.8967
step 7000, training accuracy 0.9, 3.57676 msec to evaluate
step 7100, training accuracy 0.84, 4.43745 msec to evaluate
step 7200, training accuracy 0.94, 4.24051 msec to evaluate
step 7300, training accuracy 0.92, 3.92771 msec to evaluate
step 7400, training accuracy 0.96, 3.98445 msec to evaluate
step 7500, training accuracy 0.92, 3.81136 msec to evaluate
step 7600, training accuracy 0.98, 3.29471 msec to evaluate
step 7700, training accuracy 0.94, 4.07076 msec to evaluate
step 7800, training accuracy 0.9, 3.84092 msec to evaluate
step 7900, training accuracy 0.94, 4.73428 msec to evaluate
test accuracy 0.9094
step 8000, training accuracy 0.9, 4.76909 msec to evaluate
step 8100, training accuracy 0.94, 4.71735 msec to evaluate
step 8200, training accuracy 0.9, 3.52359 msec to evaluate
step 8300, training accuracy 0.88, 3.69167 msec to evaluate
step 8400, training accuracy 0.92, 4.70328 msec to evaluate
step 8500, training accuracy 0.84, 3.68953 msec to evaluate
step 8600, training accuracy 0.94, 4.08244 msec to evaluate
step 8700, training accuracy 0.92, 4.10175 msec to evaluate
step 8800, training accuracy 0.86, 3.44467 msec to evaluate
step 8900, training accuracy 0.94, 3.90887 msec to evaluate
test accuracy 0.9349
step 9000, training accuracy 0.94, 3.88718 msec to evaluate
step 9100, training accuracy 0.82, 4.32324 msec to evaluate
step 9200, training accuracy 0.88, 4.15921 msec to evaluate
step 9300, training accuracy 0.84, 4.08268 msec to evaluate
step 9400, training accuracy 0.92, 4.01592 msec to evaluate
step 9500, training accuracy 0.94, 3.84927 msec to evaluate
step 9600, training accuracy 0.94, 4.1194 msec to evaluate
step 9700, training accuracy 0.96, 3.97778 msec to evaluate
step 9800, training accuracy 0.82, 3.54195 msec to evaluate
step 9900, training accuracy 0.98, 3.26014 msec to evaluate
test accuracy 0.9256
step 10000, training accuracy 0.98, 3.86572 msec to evaluate
step 10100, training accuracy 0.88, 4.22883 msec to evaluate
step 10200, training accuracy 0.92, 4.30655 msec to evaluate
step 10300, training accuracy 0.88, 4.12178 msec to evaluate
step 10400, training accuracy 0.9, 4.32706 msec to evaluate
step 10500, training accuracy 0.96, 5.32699 msec to evaluate
step 10600, training accuracy 0.96, 4.20427 msec to evaluate
step 10700, training accuracy 0.98, 4.16899 msec to evaluate
step 10800, training accuracy 0.9, 4.65059 msec to evaluate
step 10900, training accuracy 0.96, 3.77393 msec to evaluate
test accuracy 0.9402
step 11000, training accuracy 0.92, 3.71671 msec to evaluate
step 11100, training accuracy 0.98, 3.61156 msec to evaluate
step 11200, training accuracy 0.92, 3.89957 msec to evaluate
step 11300, training accuracy 0.84, 4.07076 msec to evaluate
step 11400, training accuracy 0.92, 3.86834 msec to evaluate
step 11500, training accuracy 0.88, 4.85492 msec to evaluate
step 11600, training accuracy 0.98, 4.05216 msec to evaluate
step 11700, training accuracy 0.96, 3.73316 msec to evaluate
step 11800, training accuracy 0.86, 3.8321 msec to evaluate
step 11900, training accuracy 0.9, 3.79658 msec to evaluate
test accuracy 0.9347
step 12000, training accuracy 0.84, 4.71258 msec to evaluate
step 12100, training accuracy 0.96, 3.60131 msec to evaluate
step 12200, training accuracy 0.96, 3.64065 msec to evaluate
step 12300, training accuracy 1, 4.00901 msec to evaluate
step 12400, training accuracy 0.96, 4.04429 msec to evaluate
step 12500, training accuracy 1, 3.5677 msec to evaluate
step 12600, training accuracy 0.96, 3.85427 msec to evaluate
step 12700, training accuracy 0.96, 3.47137 msec to evaluate
step 12800, training accuracy 0.94, 3.99256 msec to evaluate
step 12900, training accuracy 1, 4.0803 msec to evaluate
test accuracy 0.9347
step 13000, training accuracy 0.88, 2.84672 msec to evaluate
step 13100, training accuracy 0.98, 3.96276 msec to evaluate
step 13200, training accuracy 0.96, 4.02093 msec to evaluate
step 13300, training accuracy 0.96, 4.02331 msec to evaluate
step 13400, training accuracy 0.94, 3.94297 msec to evaluate
step 13500, training accuracy 0.96, 3.7396 msec to evaluate
step 13600, training accuracy 0.86, 4.78339 msec to evaluate
step 13700, training accuracy 0.88, 4.4136 msec to evaluate
step 13800, training accuracy 1, 4.01783 msec to evaluate
step 13900, training accuracy 0.98, 3.37505 msec to evaluate
test accuracy 0.9372
step 14000, training accuracy 0.88, 4.52113 msec to evaluate
step 14100, training accuracy 0.9, 3.80015 msec to evaluate
step 14200, training accuracy 0.94, 4.01425 msec to evaluate
step 14300, training accuracy 0.86, 4.95291 msec to evaluate
step 14400, training accuracy 0.94, 3.3679 msec to evaluate
step 14500, training accuracy 0.96, 3.73054 msec to evaluate
step 14600, training accuracy 0.98, 4.0741 msec to evaluate
step 14700, training accuracy 0.92, 3.48783 msec to evaluate
step 14800, training accuracy 0.96, 4.38166 msec to evaluate
step 14900, training accuracy 0.98, 3.72791 msec to evaluate
test accuracy 0.9454
step 15000, training accuracy 0.9, 4.60339 msec to evaluate
step 15100, training accuracy 1, 4.17972 msec to evaluate
step 15200, training accuracy 0.9, 3.89671 msec to evaluate
step 15300, training accuracy 0.98, 3.83973 msec to evaluate
step 15400, training accuracy 0.96, 3.24082 msec to evaluate
step 15500, training accuracy 0.98, 4.51732 msec to evaluate
step 15600, training accuracy 0.96, 4.8821 msec to evaluate
step 15700, training accuracy 0.94, 4.6258 msec to evaluate
step 15800, training accuracy 0.94, 3.87526 msec to evaluate
step 15900, training accuracy 0.96, 4.27771 msec to evaluate
test accuracy 0.9414
step 16000, training accuracy 0.98, 2.85435 msec to evaluate
step 16100, training accuracy 0.96, 3.93486 msec to evaluate
step 16200, training accuracy 0.92, 4.67587 msec to evaluate
step 16300, training accuracy 0.96, 3.88408 msec to evaluate
step 16400, training accuracy 0.86, 3.44205 msec to evaluate
step 16500, training accuracy 0.96, 3.87478 msec to evaluate
step 16600, training accuracy 0.92, 3.66354 msec to evaluate
step 16700, training accuracy 0.94, 4.4291 msec to evaluate
step 16800, training accuracy 1, 4.32682 msec to evaluate
step 16900, training accuracy 0.98, 4.01711 msec to evaluate
test accuracy 0.9383
step 17000, training accuracy 0.98, 3.2196 msec to evaluate
step 17100, training accuracy 0.96, 3.81064 msec to evaluate
step 17200, training accuracy 0.96, 3.56507 msec to evaluate
step 17300, training accuracy 0.96, 4.246 msec to evaluate
step 17400, training accuracy 0.96, 4.6525 msec to evaluate
step 17500, training accuracy 0.94, 4.10414 msec to evaluate
step 17600, training accuracy 0.96, 3.67427 msec to evaluate
step 17700, training accuracy 0.92, 4.15039 msec to evaluate
step 17800, training accuracy 1, 4.47273 msec to evaluate
step 17900, training accuracy 0.92, 3.88956 msec to evaluate
test accuracy 0.9489
step 18000, training accuracy 0.96, 3.47471 msec to evaluate
step 18100, training accuracy 0.96, 4.03261 msec to evaluate
step 18200, training accuracy 0.96, 4.02904 msec to evaluate
step 18300, training accuracy 0.94, 4.68111 msec to evaluate
step 18400, training accuracy 0.96, 4.76146 msec to evaluate
step 18500, training accuracy 0.96, 3.92509 msec to evaluate
step 18600, training accuracy 0.98, 4.21405 msec to evaluate
step 18700, training accuracy 1, 3.91221 msec to evaluate
step 18800, training accuracy 0.96, 3.9928 msec to evaluate
step 18900, training accuracy 0.98, 3.9084 msec to evaluate
test accuracy 0.955
step 19000, training accuracy 0.98, 4.17233 msec to evaluate
step 19100, training accuracy 0.96, 4.05455 msec to evaluate
step 19200, training accuracy 1, 3.86477 msec to evaluate
step 19300, training accuracy 0.9, 3.829 msec to evaluate
step 19400, training accuracy 0.98, 4.16589 msec to evaluate
step 19500, training accuracy 0.94, 3.9351 msec to evaluate
step 19600, training accuracy 0.96, 4.32014 msec to evaluate
step 19700, training accuracy 0.96, 4.13394 msec to evaluate
step 19800, training accuracy 0.98, 5.36013 msec to evaluate
step 19900, training accuracy 0.92, 4.07839 msec to evaluate
test accuracy 0.9468
step 20000, training accuracy 0.96, 4.96197 msec to evaluate
step 20100, training accuracy 0.98, 3.88622 msec to evaluate
step 20200, training accuracy 0.98, 3.92818 msec to evaluate
step 20300, training accuracy 0.92, 4.01783 msec to evaluate
step 20400, training accuracy 0.98, 3.54576 msec to evaluate
step 20500, training accuracy 0.96, 4.03523 msec to evaluate
step 20600, training accuracy 0.96, 7.58886 msec to evaluate
step 20700, training accuracy 1, 5.07641 msec to evaluate
step 20800, training accuracy 0.98, 4.11749 msec to evaluate
step 20900, training accuracy 0.94, 3.88002 msec to evaluate
test accuracy 0.9546
step 21000, training accuracy 1, 3.20411 msec to evaluate
step 21100, training accuracy 0.94, 4.21596 msec to evaluate
step 21200, training accuracy 0.96, 4.68063 msec to evaluate
step 21300, training accuracy 0.98, 4.32706 msec to evaluate
step 21400, training accuracy 0.98, 4.12774 msec to evaluate
step 21500, training accuracy 0.98, 4.14467 msec to evaluate
step 21600, training accuracy 0.94, 3.67093 msec to evaluate
step 21700, training accuracy 1, 4.57883 msec to evaluate
step 21800, training accuracy 0.94, 4.2634 msec to evaluate
step 21900, training accuracy 1, 4.66108 msec to evaluate
test accuracy 0.9563
step 22000, training accuracy 0.96, 3.6819 msec to evaluate
step 22100, training accuracy 1, 3.90387 msec to evaluate
step 22200, training accuracy 0.96, 3.52097 msec to evaluate
step 22300, training accuracy 0.96, 3.84045 msec to evaluate
step 22400, training accuracy 0.96, 4.07624 msec to evaluate
step 22500, training accuracy 0.98, 3.83544 msec to evaluate
step 22600, training accuracy 0.98, 3.92461 msec to evaluate
step 22700, training accuracy 0.94, 3.53932 msec to evaluate
step 22800, training accuracy 0.9, 4.02927 msec to evaluate
step 22900, training accuracy 1, 3.98397 msec to evaluate
test accuracy 0.9548
step 23000, training accuracy 0.94, 3.98731 msec to evaluate
step 23100, training accuracy 1, 4.50826 msec to evaluate
step 23200, training accuracy 0.94, 3.68643 msec to evaluate
step 23300, training accuracy 0.94, 4.0729 msec to evaluate
step 23400, training accuracy 0.96, 4.0102 msec to evaluate
step 23500, training accuracy 0.88, 4.71377 msec to evaluate
step 23600, training accuracy 0.96, 4.23527 msec to evaluate
step 23700, training accuracy 0.98, 3.95775 msec to evaluate
step 23800, training accuracy 1, 3.90315 msec to evaluate
step 23900, training accuracy 0.94, 3.70598 msec to evaluate
test accuracy 0.9532
step 24000, training accuracy 0.96, 3.72887 msec to evaluate
step 24100, training accuracy 0.98, 3.66211 msec to evaluate
step 24200, training accuracy 0.96, 3.55864 msec to evaluate
step 24300, training accuracy 0.98, 3.7775 msec to evaluate
step 24400, training accuracy 0.92, 4.02665 msec to evaluate
step 24500, training accuracy 0.92, 4.46486 msec to evaluate
step 24600, training accuracy 0.96, 4.0772 msec to evaluate
step 24700, training accuracy 0.92, 3.74126 msec to evaluate
step 24800, training accuracy 1, 3.54791 msec to evaluate
step 24900, training accuracy 0.92, 4.88234 msec to evaluate
test accuracy 0.9568
step 25000, training accuracy 0.96, 4.17376 msec to evaluate
step 25100, training accuracy 1, 3.60942 msec to evaluate
step 25200, training accuracy 0.98, 3.70097 msec to evaluate
step 25300, training accuracy 1, 3.53575 msec to evaluate
step 25400, training accuracy 0.98, 3.38244 msec to evaluate
step 25500, training accuracy 0.92, 3.54362 msec to evaluate
step 25600, training accuracy 0.96, 3.65353 msec to evaluate
step 25700, training accuracy 0.98, 3.90387 msec to evaluate
step 25800, training accuracy 1, 3.65996 msec to evaluate
step 25900, training accuracy 0.98, 4.36878 msec to evaluate
test accuracy 0.9564
step 26000, training accuracy 1, 3.44086 msec to evaluate
step 26100, training accuracy 1, 3.6602 msec to evaluate
step 26200, training accuracy 0.96, 4.20475 msec to evaluate
step 26300, training accuracy 0.9, 4.42123 msec to evaluate
step 26400, training accuracy 0.94, 4.13203 msec to evaluate
step 26500, training accuracy 0.98, 3.96705 msec to evaluate
step 26600, training accuracy 0.96, 3.78418 msec to evaluate
step 26700, training accuracy 0.96, 4.3292 msec to evaluate
step 26800, training accuracy 0.94, 3.65949 msec to evaluate
step 26900, training accuracy 1, 4.03333 msec to evaluate
test accuracy 0.9579
step 27000, training accuracy 0.98, 3.83925 msec to evaluate
step 27100, training accuracy 0.96, 4.22335 msec to evaluate
step 27200, training accuracy 0.98, 3.66187 msec to evaluate
step 27300, training accuracy 1, 3.82757 msec to evaluate
step 27400, training accuracy 0.98, 4.0853 msec to evaluate
step 27500, training accuracy 0.96, 4.9293 msec to evaluate
step 27600, training accuracy 0.96, 4.35376 msec to evaluate
step 27700, training accuracy 0.96, 3.7148 msec to evaluate
step 27800, training accuracy 0.92, 3.69191 msec to evaluate
step 27900, training accuracy 0.98, 4.06265 msec to evaluate
test accuracy 0.9641
step 28000, training accuracy 1, 3.74532 msec to evaluate
step 28100, training accuracy 1, 8.29697 msec to evaluate
step 28200, training accuracy 0.94, 4.004 msec to evaluate
step 28300, training accuracy 0.92, 3.65949 msec to evaluate
step 28400, training accuracy 0.96, 3.81422 msec to evaluate
step 28500, training accuracy 0.98, 3.97849 msec to evaluate
step 28600, training accuracy 0.98, 3.46518 msec to evaluate
step 28700, training accuracy 1, 4.06909 msec to evaluate
step 28800, training accuracy 1, 4.16303 msec to evaluate
step 28900, training accuracy 0.96, 3.93128 msec to evaluate
test accuracy 0.9561
step 29000, training accuracy 0.96, 4.52113 msec to evaluate
step 29100, training accuracy 0.96, 3.9854 msec to evaluate
step 29200, training accuracy 0.94, 5.07498 msec to evaluate
step 29300, training accuracy 0.96, 3.92914 msec to evaluate
step 29400, training accuracy 1, 3.8228 msec to evaluate
step 29500, training accuracy 0.92, 3.96538 msec to evaluate
step 29600, training accuracy 0.98, 4.61864 msec to evaluate
step 29700, training accuracy 0.98, 4.61197 msec to evaluate
step 29800, training accuracy 1, 4.2522 msec to evaluate
step 29900, training accuracy 0.92, 3.97897 msec to evaluate
test accuracy 0.9577
step 30000, training accuracy 0.96, 4.33397 msec to evaluate
step 30100, training accuracy 1, 4.31943 msec to evaluate
step 30200, training accuracy 0.9, 4.03547 msec to evaluate
step 30300, training accuracy 0.98, 4.54593 msec to evaluate
step 30400, training accuracy 0.96, 3.9525 msec to evaluate
step 30500, training accuracy 1, 3.70288 msec to evaluate
step 30600, training accuracy 0.94, 4.19617 msec to evaluate
step 30700, training accuracy 0.94, 3.83806 msec to evaluate
step 30800, training accuracy 0.98, 3.77274 msec to evaluate
step 30900, training accuracy 0.94, 4.34852 msec to evaluate
test accuracy 0.959
step 31000, training accuracy 0.96, 4.0524 msec to evaluate
step 31100, training accuracy 0.92, 4.85587 msec to evaluate
step 31200, training accuracy 0.96, 4.00257 msec to evaluate
step 31300, training accuracy 0.96, 4.09055 msec to evaluate
step 31400, training accuracy 0.96, 3.78966 msec to evaluate
step 31500, training accuracy 1, 4.22215 msec to evaluate
step 31600, training accuracy 0.92, 3.81684 msec to evaluate
step 31700, training accuracy 1, 5.09858 msec to evaluate
step 31800, training accuracy 0.98, 5.50842 msec to evaluate
step 31900, training accuracy 0.98, 3.35002 msec to evaluate
test accuracy 0.9639
step 32000, training accuracy 0.96, 3.2382 msec to evaluate
step 32100, training accuracy 0.96, 3.97944 msec to evaluate
step 32200, training accuracy 0.98, 3.86238 msec to evaluate
step 32300, training accuracy 1, 4.24433 msec to evaluate
step 32400, training accuracy 0.94, 4.50444 msec to evaluate
step 32500, training accuracy 0.96, 4.56977 msec to evaluate
step 32600, training accuracy 0.94, 3.88288 msec to evaluate
step 32700, training accuracy 0.94, 3.87931 msec to evaluate
step 32800, training accuracy 0.92, 4.41837 msec to evaluate
step 32900, training accuracy 0.96, 3.74556 msec to evaluate
test accuracy 0.9556
step 33000, training accuracy 0.96, 3.45302 msec to evaluate
step 33100, training accuracy 0.98, 4.08125 msec to evaluate
step 33200, training accuracy 0.96, 4.47154 msec to evaluate
step 33300, training accuracy 1, 4.36115 msec to evaluate
step 33400, training accuracy 0.96, 3.95846 msec to evaluate
step 33500, training accuracy 1, 4.76432 msec to evaluate
step 33600, training accuracy 1, 3.81422 msec to evaluate
step 33700, training accuracy 0.98, 4.17233 msec to evaluate
step 33800, training accuracy 0.96, 3.89504 msec to evaluate
step 33900, training accuracy 1, 5.19371 msec to evaluate
test accuracy 0.9626
step 34000, training accuracy 0.94, 3.7291 msec to evaluate
step 34100, training accuracy 0.94, 3.76821 msec to evaluate
step 34200, training accuracy 0.96, 4.12393 msec to evaluate
step 34300, training accuracy 0.96, 3.56698 msec to evaluate
step 34400, training accuracy 0.96, 4.21906 msec to evaluate
step 34500, training accuracy 0.96, 3.83449 msec to evaluate
step 34600, training accuracy 0.94, 4.96101 msec to evaluate
step 34700, training accuracy 0.96, 4.07767 msec to evaluate
step 34800, training accuracy 0.98, 4.39978 msec to evaluate
step 34900, training accuracy 0.96, 4.09961 msec to evaluate
test accuracy 0.9597
step 35000, training accuracy 0.98, 3.43156 msec to evaluate
step 35100, training accuracy 0.98, 4.673 msec to evaluate
step 35200, training accuracy 0.92, 3.54171 msec to evaluate
step 35300, training accuracy 1, 4.93336 msec to evaluate
step 35400, training accuracy 0.94, 3.34477 msec to evaluate
step 35500, training accuracy 0.96, 3.99065 msec to evaluate
step 35600, training accuracy 0.98, 4.41051 msec to evaluate
step 35700, training accuracy 0.94, 5.14221 msec to evaluate
step 35800, training accuracy 0.92, 4.03643 msec to evaluate
step 35900, training accuracy 0.94, 4.44412 msec to evaluate
test accuracy 0.9614
step 36000, training accuracy 0.98, 4.39835 msec to evaluate
step 36100, training accuracy 0.96, 4.36926 msec to evaluate
step 36200, training accuracy 0.94, 3.65949 msec to evaluate
step 36300, training accuracy 0.98, 3.6788 msec to evaluate
step 36400, training accuracy 0.98, 4.58145 msec to evaluate
step 36500, training accuracy 0.98, 4.32849 msec to evaluate
step 36600, training accuracy 0.98, 4.79317 msec to evaluate
step 36700, training accuracy 0.98, 3.77369 msec to evaluate
step 36800, training accuracy 0.94, 3.83377 msec to evaluate
step 36900, training accuracy 0.96, 4.23813 msec to evaluate
test accuracy 0.9627
step 37000, training accuracy 0.98, 3.7992 msec to evaluate
step 37100, training accuracy 1, 4.65345 msec to evaluate
step 37200, training accuracy 1, 4.15826 msec to evaluate
step 37300, training accuracy 0.94, 3.93772 msec to evaluate
step 37400, training accuracy 0.98, 4.69494 msec to evaluate
step 37500, training accuracy 0.98, 3.91817 msec to evaluate
step 37600, training accuracy 0.96, 4.20284 msec to evaluate
step 37700, training accuracy 0.96, 4.23551 msec to evaluate
step 37800, training accuracy 0.98, 3.74079 msec to evaluate
step 37900, training accuracy 1, 4.18687 msec to evaluate
test accuracy 0.9624
step 38000, training accuracy 1, 4.91142 msec to evaluate
step 38100, training accuracy 0.98, 4.25863 msec to evaluate
step 38200, training accuracy 0.98, 4.4806 msec to evaluate
step 38300, training accuracy 0.96, 3.52812 msec to evaluate
step 38400, training accuracy 0.98, 4.11606 msec to evaluate
step 38500, training accuracy 0.92, 6.01387 msec to evaluate
step 38600, training accuracy 0.96, 4.32062 msec to evaluate
step 38700, training accuracy 1, 5.94091 msec to evaluate
